City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
636,Quepos,CR,80.78,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
639,Atambua,ID,84.31,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
640,San Francisco,US,74.84,37.7749,-122.4194,The Clift Royal Sonesta Hotel
641,Tezu,IN,82.72,27.9167,96.1667,Circuit House
643,Manggar,ID,85.73,-2.8833,108.2667,Guest Hotel
644,Pedernales,DO,81.45,18.0384,-71.744,Hotel Costa Marina
646,Ballina,AU,69.98,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
647,Stadskanaal,NL,64.94,52.9833,6.95,City Hotel Stadskanaal
648,Kerman,IR,69.66,30.2832,57.0788,هتل آپارتمان آسام
650,Semey,KZ,82.62,50.4111,80.2275,Grand Hotel Semey
651,Price,US,80.4,39.5994,-110.8107,National 9 - Price River Inn
652,Ganzhou,CN,90.95,28.8184,115.4327,Laotou Farm Restaurant Hostel
653,Barra Patuca,HN,79.18,15.8,-84.2833,
654,Nogliki,RU,76.35,51.8333,143.1667,"Hotel ""Nogliki"""
655,Wajid,SO,71.1,3.8093,43.2471,xamdihotelresturant114
656,Ontario,US,85.64,34.0633,-117.6509,American Inn
659,Tucupita,VE,74.46,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
